,Date,Local,Visitor,Links,GoalsLocal,GoalsVisitor
201,2019-01-26,Atlético Madrid,Getafe,https://fbref.com/en/matches/2fcc0d89/Atletico-Madrid-Getafe-January-26-2019-La-Liga,2,0
202,2019-01-26,Leganés,Eibar,https://fbref.com/en/matches/342a46e9/Leganes-Eibar-January-26-2019-La-Liga,2,2
203,2019-01-26,Valencia,Villarreal,https://fbref.com/en/matches/e982d83f/Valencia-Villarreal-January-26-2019-La-Liga,3,0
204,2019-01-27,Valladolid,Celta Vigo,https://fbref.com/en/matches/e477d28c/Valladolid-Celta-Vigo-January-27-2019-La-Liga,2,1
205,2019-01-27,Girona,Barcelona,https://fbref.com/en/matches/fe1f2ee5/Girona-Barcelona-January-27-2019-La-Liga,0,2
206,2019-01-27,Real Sociedad,Huesca,https://fbref.com/en/matches/34f7793f/Real-Sociedad-Huesca-January-27-2019-La-Liga,0,0
207,2019-01-27,Athletic Bilbao,Betis,https://fbref.com/en/matches/7b2b21cb/Athletic-Bilbao-Real-Betis-January-27-2019-La-Liga,1,0
208,2019-01-27,Espanyol,Real Madrid,https://fbref.com/en/matches/9eaada3d/Espanyol-Real-Madrid-January-27-2019-La-Liga,2,4
209,2019-01-28,Alavés,Rayo Vallecano,https://fbref.com/en/matches/d76ebcee/Alaves-Rayo-Vallecano-January-28-2019-La-Liga,0,1
210,2019-02-01,Huesca,Valladolid,https://fbref.com/en/matches/7e2758cc/Huesca-Valladolid-February-1-2019-La-Liga,4,0
211,2019-02-02,Levante,Getafe,https://fbref.com/en/matches/9be74470/Levante-Getafe-February-2-2019-La-Liga,0,0
212,2019-02-02,Real Sociedad,Athletic Bilbao,https://fbref.com/en/matches/b444df9a/Real-Sociedad-Athletic-Bilbao-February-2-2019-La-Liga,2,1
213,2019-02-02,Barcelona,Valencia,https://fbref.com/en/matches/2cb199b0/Barcelona-Valencia-February-2-2019-La-Liga,2,2
214,2019-02-02,Celta Vigo,Sevilla,https://fbref.com/en/matches/68311c30/Celta-Vigo-Sevilla-February-2-2019-La-Liga,1,0
215,2019-02-03,Villarreal,Espanyol,https://fbref.com/en/matches/9172e3c8/Villarreal-Espanyol-February-3-2019-La-Liga,2,2
216,2019-02-03,Betis,Atlético Madrid,https://fbref.com/en/matches/c520e02b/Real-Betis-Atletico-Madrid-February-3-2019-La-Liga,1,0
217,2019-02-03,Eibar,Girona,https://fbref.com/en/matches/a6c5c209/Eibar-Girona-February-3-2019-La-Liga,3,0
218,2019-02-03,Real Madrid,Alavés,https://fbref.com/en/matches/9f9ae3eb/Real-Madrid-Alaves-February-3-2019-La-Liga,3,0
219,2019-02-04,Rayo Vallecano,Leganés,https://fbref.com/en/matches/2e532e72/Rayo-Vallecano-Leganes-February-4-2019-La-Liga,1,2
220,2019-02-08,Valladolid,Villarreal,https://fbref.com/en/matches/db1d2af6/Valladolid-Villarreal-February-8-2019-La-Liga,0,0
221,2019-02-09,Getafe,Celta Vigo,https://fbref.com/en/matches/7f63a675/Getafe-Celta-Vigo-February-9-2019-La-Liga,3,1
222,2019-02-09,Atlético Madrid,Real Madrid,https://fbref.com/en/matches/be01c5f1/Atletico-Madrid-Real-Madrid-February-9-2019-La-Liga,1,3
223,2019-02-09,Espanyol,Rayo Vallecano,https://fbref.com/en/matches/401ae99b/Espanyol-Rayo-Vallecano-February-9-2019-La-Liga,2,1
224,2019-02-09,Girona,Huesca,https://fbref.com/en/matches/2e5ac1bc/Girona-Huesca-February-9-2019-La-Liga,0,2
225,2019-02-10,Leganés,Betis,https://fbref.com/en/matches/006a5676/Leganes-Real-Betis-February-10-2019-La-Liga,3,0
226,2019-02-10,Valencia,Real Sociedad,https://fbref.com/en/matches/f12fc51d/Valencia-Real-Sociedad-February-10-2019-La-Liga,0,0
227,2019-02-10,Sevilla,Eibar,https://fbref.com/en/matches/c2ce250c/Sevilla-Eibar-February-10-2019-La-Liga,2,2
228,2019-02-10,Athletic Bilbao,Barcelona,https://fbref.com/en/matches/7a72c2d3/Athletic-Bilbao-Barcelona-February-10-2019-La-Liga,0,0
229,2019-02-11,Alavés,Levante,https://fbref.com/en/matches/b109995c/Alaves-Levante-February-11-2019-La-Liga,2,0
230,2019-02-15,Eibar,Getafe,https://fbref.com/en/matches/647a65c5/Eibar-Getafe-February-15-2019-La-Liga,2,2
231,2019-02-16,Celta Vigo,Levante,https://fbref.com/en/matches/6d3dedb0/Celta-Vigo-Levante-February-16-2019-La-Liga,1,4
232,2019-02-16,Rayo Vallecano,Atlético Madrid,https://fbref.com/en/matches/00ea5103/Rayo-Vallecano-Atletico-Madrid-February-16-2019-La-Liga,0,1
233,2019-02-16,Real Sociedad,Leganés,https://fbref.com/en/matches/cd72ec43/Real-Sociedad-Leganes-February-16-2019-La-Liga,3,0
234,2019-02-16,Barcelona,Valladolid,https://fbref.com/en/matches/df8fbe37/Barcelona-Valladolid-February-16-2019-La-Liga,1,0
235,2019-02-17,Real Madrid,Girona,https://fbref.com/en/matches/f3bbe281/Real-Madrid-Girona-February-17-2019-La-Liga,1,2
236,2019-02-17,Valencia,Espanyol,https://fbref.com/en/matches/c4c53328/Valencia-Espanyol-February-17-2019-La-Liga,0,0
237,2019-02-17,Villarreal,Sevilla,https://fbref.com/en/matches/a7efee87/Villarreal-Sevilla-February-17-2019-La-Liga,3,0
238,2019-02-17,Betis,Alavés,https://fbref.com/en/matches/be83c256/Real-Betis-Alaves-February-17-2019-La-Liga,1,1
239,2019-02-18,Huesca,Athletic Bilbao,https://fbref.com/en/matches/42f8a227/Huesca-Athletic-Bilbao-February-18-2019-La-Liga,0,1
240,2019-02-22,Espanyol,Huesca,https://fbref.com/en/matches/1a6f9817/Espanyol-Huesca-February-22-2019-La-Liga,1,1
241,2019-02-23,Getafe,Rayo Vallecano,https://fbref.com/en/matches/878fac0e/Getafe-Rayo-Vallecano-February-23-2019-La-Liga,2,1
